question,answer
What is part of the critique of the scientific base of evolutionary psychology?,The concept of the Environment of Evolutionary Adaptation (EEA)
What was the primary lifestyle of Homo sapiens' ancestors?,Hunter-gatherers
Does Edward Hagen believe that the human past environments were radically different from those in the Carboniferous or Jurassic periods?,No
What was also true in the EEA according to Hagen?,Females being able to get pregnant and males not
What argument do critics use to claim that it is impossible to determine what was adaptive in the European Early Authors (EEA)?,The No Time Machine Argument
What is Alcock's conclusion about making predictions on the adaptive value of traits?,That researchers can make predictions on the adaptive value of traits
What does Dominic Murphy propose for evaluating alternative explanations?,They require their own evidence and predictions
What is one way that historical sciences make predictions?,They look for evidence of what we would expect to see in the modern-day if a past event or theory was true.
What is Murphy's argument about the onus of proof regarding evolutionary psychology?,The onus is on critics to show why evolutionary psychology is untestable if other historical disciplines are testable without a time machine.
What is the primary reason why evolutionary psychologists suggest that modularity evolves?,It would have conferred an advantage in terms of fitness
What type of cognitive task has been used to provide empirical support for the domain-specific theory?,The Wason selection task
What is Cecilia Heyes' alternative perspective on the human mind?,Cognitive gadgets
What was the year in which Segerstråle published a book addressing criticisms of evolutionary psychologists?,2000
What was Robert Kurzban's analogy for critics' misunderstandings?,They are holding the gun backwards
When did the chimpanzee–human last common ancestor diverge?,Estimates of the divergence date vary widely from thirteen to five million years ago
What is the purpose of using chimpanzees as an outgroup in human genetic studies?,As a reference point for calculating single-nucleotide polymorphism (SNP) rates in human populations
What is the purpose of the taxon tribe Hominini?,to separate humans (genus Homo) from chimpanzees (Pan) and gorillas (genus Gorilla)
What taxon did Mann and Weiss (1996) propose grouping Pan and Homo in?,The tribe Hominini
What was the proposed tribe referred to by Wood and Richmond?,Panini
What is the name of the subtribe that includes all human-related genera that arose after divergence from Pan?,Hominina
When did Sahelanthropus tchadensis live?,7 million years ago
When did Ardipithecus most likely appear?,Some 5.5 million years ago
Is Ardipithecus considered an ancestor of humans?,No
What characteristic(s) do Ardipithecus and some of its characteristics NOT share with humans?,Exclusive human characteristics
When were the first fossil chimpanzees discovered?,Between 545 to 284 thousand years ago
Which species may be ancestral to both genera Homo and Pan?,Orrorin and/or Sahelanthropus
What was Mounier's (2016) project aimed at creating?,A virtual fossil
What was the estimated age of the common human-chimpanzee last common ancestor (CHLCA) according to a 2016 study?,12.1 million years
What is the approximate time period discussed as giving recent dates for the Pan-Homo split?,.3 and 6.5 million years ago in 2021
When did speciation between Pan and Homo occur?,over the last 9 million years
What is the estimated time frame for the final separation of humans from the lineage of Pan?,13 million to as recent as 4 million years ago
What is the name of the scientist who rejected the similarity of the X chromosome in humans and chimpanzees as unwarranted?,Wakeley
What is suggested as being the rule rather than the exception in large primates?,Messy speciation
What is the estimated time period when the gorilla–human last common ancestor lived?,8 to 10 million years ago
What is the evolutionary significance of the GHLCA?,"It marks a pivotal split within the Homininae subfamily, separating gorillas from the lineage that gave rise to chimpanzees, bonobos, and humans."
What was the estimated time when the gorilla lineage diverged from its common ancestor?,Around 10 million years ago
What is the approximate time period when the phylogenetic split of Hominidae into the subfamilies Homininae and Ponginae occurred?,18 to 14 million years ago
When did hominoidea (apes) evolve in Africa?,About 18 million years ago
When did great apes first appear in the fossil record in Europe and Asia?,About 12 million years ago
What is the location where the nominate genus Dryopithecus was first uncovered?,France
What is the suggested date for the Homininae-Ponginae split according to the study of Dryopithecini?,Earlier than 8 million years ago
When did the climate in Europe start to change?,During the later Miocene
What replaced tropical forest in Europe about 9.5 million years ago?,Woodlands
What is unique about the sweat glands of great apes compared to those of lesser monkeys?,"Great apes have sweat glands in the armpits, whereas lesser monkeys have them in the chest."
What type of hairs do orangutans have on their tongue?,Submandibular glands
What is a unique feature found in the skull of humans that they share with orangutans?,superciliary arches
What is the characteristic of the structural evolution of the orangutan genome compared to other great apes?,It has proceeded much more slowly
What is the estimated age range of the orangutan lineage?,12-16 million years
What is one significant similarity between orangutans and humans?,Equal brain size
What is the estimated time period when the gibbon–human last common ancestor lived?,20 to 16 million years ago
"According to a 2014 whole-genome molecular dating analysis, when did the gibbon lineage diverge from that of great apes (Hominidae)?",Around 17 million years ago
What is the approximate time period when the four genera within the Hylobatidae lineage began to rapidly radiation?,7 to 5 Mya
"What is the estimated size of the GHLCA (Gibbons, Lar, Lesser Apes, and their Closest Allies) compared to other primates?",about the size of a gibbon
What is the estimated weight of GHLCA?,12 kilograms (26 lb)
What were the Hominidae smaller than?,Their ancestors
What was the initial purpose of tool use according to David Buss?,Gathering plants
What was the difference found by McBurney et al. in spatial abilities between women and men?,"Women performed better on memory tasks, while men performed better on rotation tasks."
"According to the context, are female individuals better at gathering plants than males?",true
What aspects of human behavior cannot be explained by the gathering hypothesis?,"Sexual division of labor in men hunting and women gathering, high parental investment of human males, male coalition psychology, and reciprocal alliances (alliance theory)"
"According to the endurance running hypothesis, what is the behavior that would account for the different body plans in Homo as opposed to apes or australopithecines?",Running
What is the purpose that proponents of this hypothesis attribute to endurance running among hominins?,Persistence hunting and carcass poaching
What is the earliest date when anatomical features that enabled endurance running capabilities were heavily selected for within the genus Homo?,1.9Ma
What is unique about human locomotion compared to other animals?,The forces our feet exert on the ground are very markedly two-peaked when we walk fast
What part of the foot do barefoot runners tend to land on?,"The fronts of the foot, specifically the heads of the fourth and fifth metatarsal bones."
What is one conclusion researchers have drawn about the stride of humanity's earliest upright ancestors?,That it was likely similar to the stride of barefoot runners
What is the primary argument used by proponents of the evolutionary perspective on human movement?,Natural selection
What was a possible advantage of specialization in endurance running for early humans?,Traversing shifting habitat zones in African savannas
What is one way that humans efficiently dissipate heat?,through sweating
What is suggested by the adaptation of the Homo skull and neck?,Traits selective to endurance running optimization
What is one adaptation that promotes improved head balance for cranial stabilization during extended periods of running?,A flattening face
What is known about the efficiency of running in Australopithecus?,Running was slower and less efficient than in modern humans.
What is the main concern regarding the proposed derived traits?,Their validity
What is the type of energy storage that occurs in the plantar soft tissue of the foot during walking?,Elastic
What is the estimated time it takes for scavengers to reach a carcass after detection?,30 minutes
What was the primary function that led to the evolution of hindlimb characteristics in Australopithecus or early Homo?,Walking
What type of activities led to substantially higher gluteus maximus activity?,Maximal effort jumping and punching
"What is the relationship between muscle activity, speed, and intensity of movement?",Increased muscle activity seems related to the speed and intensity of the movement rather than the gait itself.
What is the scientific consensus on the aquatic ape hypothesis?,The scientific consensus is that the aquatic ape hypothesis is generally ignored or classified as pseudoscience by anthropologists.
Who initially proposed the theory about hominin fossils in East Africa?,Alister Hardy
Who wrote the book 'The Descent of Woman'?,Elaine Morgan
Is the hypothesis that anthropologists do not take seriously an 'umbrella hypothesis'?,True
What is the name of the German pathologist who discussed various human characteristics in 1942?,Max Westenhöfer
"According to the context, who did not believe human beings were apes?",Edgar Casey
What was Alister Hardy's hypothesis about human evolution?,That humans may have had ancestors that were more aquatic than previously imagined
When did Alfred Hardy voice his hypothesis publicly?,5 March 1960
What is Hardy's thesis about?,"A branch of this primitive ape-stock was forced by competition from life in the trees to feed on the sea-shores and to hunt for food, shellfish, sea-urchins etc., in the shallow waters off the coast."
Who showed significant interest in the subject matter?,Carl Sauer
When was the aquatic ape hypothesis mentioned in The Naked Ape by Desmond Morris?,1967
What was the focus of Robert Ardrey's 1961 best-seller 'African Genesis'?,Hunting
What was the title of Elaine Morgan's 1972 work that parodied the conventional picture of prehominid evolution?,The Descent of Woman
When did Alister Hardy first speculate about the possibility of an Aquatic Ape period in evolution?,1960
"What was the term that she originally used to describe her theory, but later replaced with 'waterside'?",aquatic
What drove a branch of primitive apes to start feeding on sea-shores and hunting for seafood?,Competition from life in the trees
What were some characteristics of modern humans that Robert Hardy believed were characteristic of aquatic adaptations?,Several hours
Do captive apes have levels of subcutaneous fat similar to humans?,Yes
What is the strong evidence for an aquatic origin of humans mentioned in the passage?,The diving reflex
What is the typical age range for human babies exhibiting a swimming response?,up to 6 months old
What is the main idea behind Waterside hypotheses of human evolution?,"Selection from wading, swimming and diving and procurement of food from aquatic habitats have significantly affected the evolution of the lineage leading to Homo sapiens."
"What year was the aquatic ape hypothesis promoted again, despite being debunked?",2019
What was the location where a conference on the Hardy and Morgan hypothesis was held in 1987?,"Valkenburg, Netherlands"
What type of water did the early hominid ancestors possibly use as a habitat?,Inland lakes and rivers
What is considered a classic example of pseudoscience among the scholarly community?,The AAH
What is the name of the anthropologist who considered the AAH (Assumption About Human Evolution) under the heading of an 'umbrella hypothesis' in 1997?,John Langdon
What was Langdon's criticism regarding the 'savannah hypothesis' in paleoanthropology?,It cannot serve as a proper scientific hypothesis due to its 'umbrella' nature
What is the primary focus of the evidence cited by AAH proponents?,Soft tissue anatomy and physiology
What is the primary reason why anthropologists do not accept the Alternative Apes Hypothesis (AAH)?,The fossil record
What do Hardy and Morgan incorrectly place in a period of the fossil record?,The alleged aquatic period of human nature
What is the term used to describe the claim that certain characteristics in primates are exceptional due to thermodynamic reasons?,pseudoscience
"According to Eugenie Scott, what is the aquatic ape hypothesis?",An instance of 'crank anthropology'
Is it easy to identify features of modern humans and infer their adaptive value in the past?,No
What is the main criticism that some anthropologists have against the Aquatic Ape Hypothesis (AAH)?,It emphasizes adaptations to deep water (or at least underwater) conditions
What is the relationship between humans and freshwater?,water-dependent
What did David Attenborough discuss as a trend in relation to the AAH?,a move towards mainstream acceptance
What type of resources were studied in a special issue of the Journal of Human Evolution?,Freshwater and marine resources
What was paleoanthropologist Alice Roberts' criticism of Sir David Attenborough's views on the Afarensis Australopithecus Homo (AAH)?,She criticized it as a distraction from more complex and interesting stories about human evolution.
What is the 'aquatic theory' referred to in Daniel Dennett's quote?,The aquatic theory is a hypothesis that suggests humans evolved from an aquatic ape-like ancestor.
Who did the person being quoted challenge in terms of their views on adaptation?,Elaine Morgan and the scientific establishment
Who reviewed Morgan's book 'Scars of Evolution' in the British Medical Journal?,Bruce Charlton
Who declared that the savannah hypothesis was dead in 1995?,Phillip Tobias
Who was astonished and mortified when the national Sunday papers carried banner headlines 'Oxford professor says man a sea ape'?,Alister Hardy
When did Elaine Morgan's book 'Descent of Woman' become an international best-seller?,1972
What was the outcome of publishing 'The Aquatic Ape' 10 years after its initial version?,It did not garner any more positive reaction from scientists.
For how many years have early humans been bipedal?,5 million
When did humans start consuming fish in significant amounts?,tens to hundreds of thousands of years ago
"Who wrote the book 'The Driving Force: Food, Evolution and The Future'?",Michael Crawford and David Marsh
What did Crawford and Marsh observe about brain size in aquatic mammals?,It is similar to humans
What is a consequence of not having access to sufficient iodine in certain inland communities?,Health problems such as cretinism in the Alps and goitre in parts of Africa due to salt-derived iodine deficiency.
What did biologists Caroline Pond and Dick Colby think about the work?,"That it provided 'no significant new information that would be of interest to biologists' and was 'speculative, theoretical and in many places so imprecise as to be misleading'"
Who is the professor of animal physiology mentioned in the context?,Erika Schagatay
"What is found on both newborn humans and certain mammals such as seals, beavers, and otters?",Vernix caseosa
Is placenta consumption practiced among seals or dolphins?,No
What is sexual selection defined as?,a biological way one sex chooses a mate for the best reproductive success
Has the role of sexual selection in human evolution been firmly established?,No
"According to Ronald Fisher, what was more favorable in human evolution?",the development of sexual selection
What percentage of a human's energy and oxygen consumption is taken up by brain maintenance?,A fifth to a quarter
What is the current consensus regarding the role of sexual selection in the evolutionary development of the human brain?,"Sexual selection is considered a potential contributing factor, but its significance is downplayed compared to other factors such as intelligence and cultural knowledge."
What was the primary focus of Charles Darwin's description of sexual selection?,reproduction
What are the two kinds of sexual selection that Darwin noted?,Competition between males for access to females and competition between males to attract females
What do the females in this context no longer do?,remain passive
"According to Charles Darwin, what drove the loss of fur in humans?",sexual selection
What did Gonder believe was a significant factor in geographical differentiation in human appearance?,Contrasts in sexual selection acting along with natural selection
What did Charles Darwin conclude about physical traits varying around the world?,That they were too trivial to survival and required input from sexual selection
Do human mate-choice criteria change depending on the people of the world?,No
What is one explanation for why humans are generally hairless compared to men?,loss of body hair facilitated sweating
What is suggested to have decreased over the course of human evolution?,Sexual dimorphism
What is the characteristic of breasts in non-lactating human females?,They are filled with fatty tissue and not milk
What is the reason behind the loss of the penis bone in humans?,Sexual selection by females looking for a clear sign of good health in prospective mates
What is unique about the human penis compared to other great apes?,It has a thicker penis
What can affect the process of mate selection?,Social and psychosocial factors
What are some physical characteristics that affect how females select their potential mates for reproduction?,"voice pitch, facial shape, muscular appearance, and height"
In which phase of the menstrual cycle do women have a stronger preference for masculine characteristics?,the fertile phase
What is the significance of feminine traits in men according to the study?,They may indicate a higher probability of long-term relationship commitment.
"According to the study mentioned, what is a factor that British women prefer in male facial appearance?",low cortisol levels
"According to a 2020 study, what happens to the attractiveness of a man if his previous relationships ended due to him being dumped?",He is found less attractive by women.
What is a factor that influences males' preference for feminine features in females?,Testosterone levels
"When given exogenous testosterone, what is the effect of men's preference for feminine female faces?",Decreased
What is one of the factors that sexual selection favors?,Size
What characteristic does male contest competition favor in humans?,Large body size
What percentage of overall muscle mass do human males have compared to females?,61%
In what type of primate species do male fundamental frequencies tend to be lower relative to females?,polygynous anthropoid primates
What is true about males engaging in physical risks?,Males who take more physical risks are perceived as being stronger.
What is one reason why hominids may have reduced canine size?,Bipedalism and adaptations of the hand
What is one adaptation in human hands?,gripping tools or hurling objects like stones
What percentage of lefthanded males exceeds that of females?,23%
What is one way that ancestral males may have given left-handedness an advantage in the gene pool?,negative frequency-dependent selection
What percentage higher is the oxygen capacity rate of human males compared to females?,25-30%
What is a possible indicator of a male's genetic quality and/or ability to provide resources?,large body size and physical aggression
What types of traits in human males may be selected to aid in hunting?,"Body size, strength, and weaponry usage"
What kind of competition is observed in all great apes?,Contest competition
What are some possible traits that high-quality mates might possess?,"Physical attractiveness, intelligence, or material resources"
What is the typical role of human females in caring for their offspring?,Primary caregivers and protectors
What is typically the form of female aggression compared to male aggression?,More indirect
What is a common form of subtle aggression used by females as a competitive tool?,Gossip
What is the difference in the association between indirect peer victimization and suicide attempts between girls and boys?,"Girls' suicide attempts were associated with any amount of indirect peer victimization, whereas only frequent indirect peer victimization was associated with boys' suicide attempts."
Has same-sex harassment been observed to affect nonhuman animals' reproductive success?,Yes
What drives competitive females to spread reputation-harming information about other women?,Female mating competition for romantic partners
What is the likelihood of women competing for desirable mates when maternal investment levels are high?,They are more likely
What is an example of indirect aggression that females can engage in?,via gossip
What is the reason why males tend to have lower pitched voices than females?,male intrasexual competition
In which environment(s) might women with larger breasts have an evolutionary advantage?,environments where resources may be low
"What is associated with increased fertility in young women, particularly those in subsistence societies?",Higher female body mass index (BMI)
It has been suggested that women who are nearing ovulation were more likely to be judged as what?,more attractive
Do the ovulatory cycle changes in facial and vocal attractiveness in humans show patterns consistent with fertility-related increases?,Yes
"According to John Manning's view, what was more important for the evolution of the darkest skin types: antimicrobial properties or protection from ultraviolet light?",Antimicrobial properties
What is the strongest correlation found between skin color and geographic factors?,Upper latitude
"According to Rogers et al. (2004), what was the primary reason dark skin evolved among early primate ancestors of humans?",The loss of body hair
"According to the context, what is considered more attractive than European women?",Women with the facial features and pigmentary characteristics of East Asian women
"According to Geoffrey Miller's hypothesis, what kind of behaviors can play a role despite not being clearly tied to survival benefits?","Humor, music, visual art, some forms of altruism, verbal creativity"
Do males make greater use of lower-frequency (more unusual) words when in a romantic mindset compared to a non-romantic mindset?,Yes
What is Miller's view on how human culture arose?,Through sexual selection for creative traits
When did the second period of brain expansion occur?,"500,000 years ago"
What is the concept referred to by Tor Nørretranders as an example of the handicap principle?,The peacock's tail
When was the controversy over the role of sexual selection in human evolution sparked?,1871
What was Alfred Wallace's stance on the origin of human mind?,non-material
What does the term 'biped' refer to?,'Two feet'
What type of movement do some species of archosaurs develop in the Triassic period?,Bipedalism
Which group among mammals has evolved habitual bipedalism multiple times?,"The hominin apes, including humans"
What is a common behavior exhibited by some primate and bear species?,Walking bipedally
What does the prefix 'bi-' mean in the word 'bipedally'?,Two
What is one of the benefits of bipedalism for animals?,access to higher food sources with their mouths
What is the maximum speed that an ostrich and a red kangaroo can reach?,70 km/h (43 mph)
What type of behavior does zoologists label as 'facultative'?,Optional
What is a common reason for people walking on all fours with their feet but not their knees?,Injury or illness
What is the term used in the article to describe normal humans' ability to walk?,obligate
What is a common characteristic of gibbon locomotion?,Walking by raising one foot at a time
What is the first known biped?,Eudibamus
What is a characteristic of hoatzin chicks?,They have claws on their wings
When did dinosaurs diverge from their archosaur ancestors?,approximately 230 million years ago
What is thought to be the common ancestor of all dinosaurs?,Eoraptor
What was the locomotion of pterosaurs?,quadrupedal
When did macropods evolve bipedal hopping?,no later than 45 million years ago
What is the reason for the rarity of bipedal movement among most mammals?,Most mammals are quadrupedal.
What is one example of a bipedal animal?,The tree kangaroo
Which primates are known to exhibit bipedalism?,"Chimpanzees, bonobos, gorillas, gibbons and baboons"
What is unique about human posture compared to that of other primates?,"Humans are the only primates who are normally biped, due to an extra curve in the spine which stabilizes the upright position"
When did the evolution of human bipedalism begin in primates?,About four million years ago
What was the condition that caused Natasha to switch to exclusive bipedalism?,An illness
What is an example of a situation where bears may stand bipedally?,Fighting
Can dogs walk bipedally?,No
What type of animal will walk on its front legs when threatened?,The spotted skunk
What is an example of arthropods that move bipedally at high speeds?,Cockroaches
What is the estimated age of Australopithecus fossils with bipedal specializations?,4.2 to 3.9 million years ago
What is the term for the opening in the cranium where the spinal cord leaves?,Foramen Magnum
What is one reason why females in a particular primate group may have evolved a dimorphism?,to bear lumbar load better during pregnancy
What was a key factor in the evolution of bipedalism?,Increased demand for shoulder mobility
What type of locomotion is thought to have been advantageous for early humans living in a forested setting?,Bipedal locomotion in trees
Was it suggested that early hominins underwent a knuckle-walking stage before adapting their back limbs for bipedality?,Yes
What were some of the causes of the evolution of human bipedalism?,"freeing the hands for carrying and using tools, sexual dimorphism in provisioning, changes in climate and environment (from jungle to savanna) that favored a more elevated eye-position, and to reduce the amount of skin exposed to the tropical sun"
What is one reason why early hominins may have become more bipedal over time?,settling on the ground
What did Napier argue about the evolution of bipedalism?,It is unlikely that a single factor drove its evolution.
"What were the three major pressures that drove the evolution of bipedalism, according to Day (1986)?","food acquisition, predator avoidance, and reproductive success"
"What is the main reason why hominins became more bipedal over time, according to the Savanna-based theory?",They were forced to adapt to life on the open savanna after leaving the trees
Did the knuckle-walking hypothesis propose that human ancestors used quadrupedal locomotion on the savanna?,True
What was one possible advantage of bipedalism in the savanna?,"Reducing the amount of surface area of the body exposed to the sun, helping regulate body temperature"
What is Elizabeth Vrba's hypothesis about?,turnover pulse
"According to fossil evidence, early bipedal hominins had both tree-climbing and walking upright abilities.",true
What is unique about humans and orangutans when climbing on thin branches?,They both exhibit increased hip and knee extension in relation to the diameter of the branch
What are the necessary conditions for an organism to become fossilized?,"The necessary conditions include a specific set of circumstances, such as rapid burial in sediment or ash, minimal oxygenation, and preservation from scavengers and decomposition."
What is true about the lack of hominine fossil finds in forests?,It does not necessarily mean no hominines ever died there
What is unique about Little Foot's toes?,He has a divergent big toe as well as the ankle strength to walk upright.
What is suggested to have been the original environment in which ancient human fossils were found?,Much more wet and covered in thick vegetation
What were the energy costs of quadrupedal and bipedal movements in chimpanzees according to the experiment?,very similar
"According to Kevin Hunt's hypothesis, why did chimpanzees become bipedal?",To obtain food
What is one similarity between Australopithecus afarensus hand and shoulder anatomy to that of a chimpanzee?,It indicates hanging arms.
What percentage of observations showed orangutans using their forelimbs to stabilize themselves?,More than 75%
What may have contributed to the increase of bipedalism in early human ancestors?,Increased fragmentation of forests
What is one theory on the origin of bipedalism?,Male provisioning
What is a key factor that early hominids engaged in to improve offspring survivorship?,Pair-bonding
What is one of the human traits associated with concealed ovulation mentioned in the context?,Permanently enlarged breasts
What is the estimated difference in weight between Australopithecus afarensis males and females?,Nearly twice
What is known about the social structure of Australopithecus afarensis?,Australopithecus afarensis lived in large groups
What is the reason for the reduction of the male hominid canine?,reduced inter-male aggression in a pair-bonded though group living primate
What is the possible relationship between Ardipithecus ramidus and African ape ancestors?,Ardipithecus ramidus was closely related to African-ape ancestors.
What is the ancestral species for chimpanzees and bonobos according to Richard Dawkins?,Australopithecus gracile
What is proposed to be one cause of Neanderthal extinction?,A less efficient running
What was one of the central elements of the general defense strategy of early hominids?,Bipedalism
What is one of the morphological developments employed to achieve a goal?,upright bipedal posture
What are some features often employed by aposematic species to advertise their non-profitability for potential predators?,Slow locomotion and strong body odor
Who suggested that bipedal threat displays could have been the transitional behavior which led to some groups of apes beginning to adopt bipedal postures more often?,Wescott and Jablonski & Chaplin
What has been suggested as an initial incentive for male phallic display and increased sexual signaling in upright female posture?,Male phallic display
What is one proposed advantage of bipedalism according to Dr. Peter Wheeler?,a reduction in heat gain and help with heat dissipation
What is the main difference between vertical posture and quadrupedalism in terms of sun exposure?,Quadrupedalism exposes more of the body to direct sunlight compared to a vertical posture.
What was the initial stimulus for bipedalism according to the context?,hotter conditions
"Who wrote that 'Man could not have attained his present dominant position in the world without the use of his hands, which are so admirably adapted to the act of obedience of his will'?",Charles Darwin
Who proposed the 'provisioning model' in 1981?,Lovejoy
What was found in ancient times that the discovery of stone tools chronologically precludes as a driving force of human evolution?,Bipedalism
What is the phenomenon that has led to the idea that the origin of human bipedalism may have been influenced by waterside environments?,The observation that large primates switch to bipedal locomotion in waist deep water
Who originally suggested the 'wading hypothesis'?,Alister Hardy
What is the 'cluster of human traits unique among primates' mentioned in the context?,"Bipedalism, voluntary control of breathing, hairlessness, and subcutaneous fat"
Who has published a series of papers and a book on the 'amphibian generalist theory'?,Carsten Niemitz
What is one theory about how aquatic food sources may have influenced human brain evolution?,Providing essential nutrients
What is the term for the problem that occurs when the increase in brain size and bipedalism leads to difficult childbirth?,Obstetrical dilemma
What is one reason why isolated birth appears to be rare and avoided cross-culturally?,The narrowing of the hips and the change in the pelvic angle caused a discrepancy in the ratio of the size of the head to the birth canal.
What is one of the challenges faced by hominins when birthing?,Greater difficulty in birthing
What would happen to shoulder stability with the evolution of bipedalism?,Shoulder stability would decrease
What is a characteristic unique to hominins that allows them to move bipedally without using a bent-hip-bent-knee (BHBK) gait?,The spinal curvature humans have
What is characterized by an 'inverted pendulum' movement?,Walking
What is one of the post-cranial changes that early hominins underwent to adapt to bipedality?,Having longer hindlimbs proportional to the forelimbs
What type of movement is characterized by kinetic and potential energy being in phase?,Spring-mass movement
What is a characteristic shared between animals with more limbs and bipedalism?,"Strong leg muscles, particularly in the thighs"
What is the typical ratio of strides to breaths for quadrupedal species?,1:1
What is the most favored phase-locked coupling ratio used by human runners?,2:1
What percentage of energy input is used by the modern human brain?,20%
What was challenging for constructing bipedal robots in the 20th century?,"Robot locomotion involved only wheels, treads, or multiple legs."
What type of robot has been influenced by studying human and animal locomotion?,Biped robots
What is the approximate age when bipedalism began in primates?,approximately four million years ago
How much more energy efficient is human walking compared to quadrupedal and bipedal walking in chimpanzees?,75%
"According to the given context, what percentage of energy is saved by humans when walking compared to quadrupeds?",75%
What characteristic do humans' feet have that differs from those of their bipedal ancestors?,Smaller toes
What is transmitted from the heel in human locomotion compared to non-human hominids?,Weight
What is the purpose of the stiffening of the human arch?,To provide efficient push-off
What is the name of the small extension peak in the knee joint angle that occurs in the midstance phase?,Double knee action
What is the source of the push that drives human walking?,The leg muscles acting at the ankle
What is the consequence of a longer leg in humans?,Humans do not need to use muscle to swing the other leg forward for the next step
What is a characteristic that apes lack in terms of bipedalism?,Their femurs are not adapted for bipedalism
What is the primary function of the gluteus maximus muscle in humans?,It plays a major role in walking
What is the primary function of the gluteus muscle?,To prevent the upper trunk of the body from 'pitching forward' or falling over
What is one adaptation that allowed humans to walk upright more efficiently?,The placement of the vertebral column closer to the hip joint
What adaptation did the human hip undergo as a result of changes in its shape?,Energy efficient adaptation
What is the direction of the bend in the human vertebral column?,The vertebral column takes a forward bend in the lumbar (lower) region and a backward bend in the thoracic (upper) region.
