question,answer,retrieved_context,llm_answer,bert_precision,bert_recall,bert_f1,cosine_similarity,fuzzy_score
What is the likelihood of women competing for desirable mates when maternal investment levels are high?,They are more likely,". Women are more likely to compete for desirable mates when maternal investment levels are high, and their social groups are largely composed of mothers, as more women living closer together are looking for similar resources that benefit their own survival and that of their children. Competition for mates among human females may take multiple forms. Contests tend to be less frequent, aggressive, and injurious than male-male contests. This leads to a difference in the traits selected

. Females may compete for high-quality mates who possess traits that indicate underlying genetic quality, possibly including physical attractiveness and intelligence, or material resources that can enhance the survival and reproductive success of the female and her offspring. Females may also compete for leadership and reputation in social alliances and networks that can provide support, protection, and mating opportunities

. Trivers posited that differential parental investment led to the evolution of sexual dimorphisms in mate choice, intra- and inter- sexual reproductive competition, and courtship displays. In mammals, including humans, females make a much larger parental investment than males (i.e","According to the context, when maternal investment levels are high, women are more likely to compete for desirable mates.",0.83754563331604,0.8858001232147217,0.8609972596168518,0.24540609,86
What is an example of indirect aggression that females can engage in?,via gossip,". The indirect aggression in which females engage can take the form of damaging the reputation of other women (e.g., via gossip), potentially influencing their sexual behavior and opportunities. Additionally, females compete with one another through male mate choice, e.g., by enhancing their own physical attractiveness. Some female anatomical traits are targets of male mate choice and possibly represent female sexual ornaments shaped by selection

. Some behaviors from mothers competing with other females at a similar life stage over resources include self-promotion and competitor derogation. However, maternal competition remains understudied. Compared to male aggression, female aggression tends to be more indirect

. Females tend to engage in more subtle and indirect aggression, such as gossip, as a competitive tool to harm same-sex rivals' social opportunities and partake in competitor derogation to prevent female rivals from getting male attention. Gossip, derogation, and social exclusion grant the aggressor the chance to go undetected and avoid retaliation

. Furthermore, same-sex harassment in some nonhuman animals impacted females' ovulation capabilities, which suggests that ","According to the context, an example of indirect aggression that females can engage in is ""damaging the reputation of other women (e.g., via gossip), potentially influencing their sexual behavior and opportunities.""",0.801436185836792,0.8731098175048828,0.8357390761375427,0.3785803,100
What is the reason why males tend to have lower pitched voices than females?,male intrasexual competition,". Femininity in the female face and voice provide cues to female reproductive hormones and reproductive potential. Males tend to have lower pitched voices than females, likely due to male intrasexual competition, but some evidence suggests that high female voice pitch may also be favored by male mate choice and function in intrasexual competition among females

. Ohala points out that if the lowered larynx were an adaptation for speech, adult human males would be expected to be better adapted in this respect than adult females, whose larynx is considerably less low. However, females outperform males in verbal tests, falsifying this whole line of reasoning. W. Tecumseh Fitch likewise argues that this was the original selective advantage of laryngeal lowering in the human species

. Ohala pointed out that if the lowered larynx were an adaptation for speech, we would expect adult human males to be better adapted in this respect than adult females, whose larynx is considerably less low. In fact, females invariably outperform males in verbal tests, falsifying this whole line of reasoning. William Tecumseh Fitch likewise argues that this was the original selective advantage of laryngeal ","According to the context, males tend to have lower pitched voices than females ""likely due to male intrasexual competition"".",0.8392530679702759,0.9165569543838501,0.8762032389640808,0.56632376,100
In which environment(s) might women with larger breasts have an evolutionary advantage?,environments where resources may be low,". Deposition of fat on the hips, buttocks, and breasts in human females may also be an outcome of female sexual selection, signaling the ability to support gestation and lactation for offspring in environments where resources may be low. However, in the Western World, women with larger breasts are seen as more likely to commit infidelity and more likely to participate in intra-sexual competition with other females

. Consequently, human females may evolve preferences for these traits, which then comprise an additional selection pressure. However, secondary sexual characteristics in human males do not always enhance overall attractiveness to females. Some traits of human males that function in contests, such as body size, strength, and weaponry usage, may also have been selected to aid in hunting

. Females may compete for high-quality mates who possess traits that indicate underlying genetic quality, possibly including physical attractiveness and intelligence, or material resources that can enhance the survival and reproductive success of the female and her offspring. Females may also compete for leadership and reputation in social alliances and networks that can provide support, p","Based on the context, environments where resources are low and women need to support gestation and lactation for offspring.",0.8425055742263794,0.8997875452041626,0.8702049255371094,0.51260805,90
"What is associated with increased fertility in young women, particularly those in subsistence societies?",Higher female body mass index (BMI),". Greater overall body fat percentage in human females appears to be unique among primates and may function in storing resources needed to gestate and support large-brained offspring as well as in sexual selection. For example, higher female body mass index (BMI) is associated with increased fertility in young women, particularly those in subsistence societies. Lower WHR, lower BMI, and smaller waist sizes are also associated with lower birth weights and higher infant mortality

. The increased brain growth after birth and the increased dependency of children on mothers had a major effect upon the female reproductive cycle, and the more frequent appearance of alloparenting in humans when compared with other hominids

. In addition, subsistence labor differentiates as observations suggests gender patterns originate from genetic traits. Another possible explanation for women gathering is their inherent prioritization of rearing offspring, which is difficult to uphold if women were hunting. Hunting is seen as more cost effective for men than for women. The division of labor allows both types of resources (animals and plants) to be utilized

. Kristen Hawkes suggests further that obtai",Higher female body mass index (BMI).,0.9850614666938782,0.9901957511901855,0.9876219630241394,0.9519925,100
It has been suggested that women who are nearing ovulation were more likely to be judged as what?,more attractive,". Known as the ovulatory shift hypothesis, the theory posits that, during the ovulatory phase of a woman's cycle (approximately days 10–15 of a woman's cycle), a woman who mated with a male with high genetic quality would have been more likely, on average, to produce and bear a healthy offspring than a woman who mated with a male with low genetic quality

. These putative preferences are predicted to be especially apparent for short-term mating domains because a potential male mate would only be offering genes to a potential offspring. This hypothesis allows researchers to examine whether women select mates who have characteristics that indicate high genetic quality during the high fertility phase of their ovulatory cycles. Indeed, studies have shown that women's preferences vary across the ovulatory cycle

. Furthermore, same-sex harassment in some nonhuman animals impacted females' ovulation capabilities, which suggests that human females' reproductive success could be influenced by the stress induced by indirect or direct peer victimization

. Such traits, particularly body fat distribution, may represent sexual ornamentation, which is important in mating throughout the animal k","According to the context, it has been suggested that women who are nearing ovulation (approximately days 10-15 of their cycle) were more likely to be judged as selecting mates with high genetic quality. This is based on the ovulatory shift hypothesis, which proposes that women's preferences for mate characteristics that indicate high genetic quality become more pronounced during this phase of their menstrual cycle.",0.7753746509552002,0.8445047736167908,0.808464527130127,0.28945524,42
Do the ovulatory cycle changes in facial and vocal attractiveness in humans show patterns consistent with fertility-related increases?,Yes,". Facial and vocal attractiveness have been observed to change with estradiol and progesterone in pattens consistent with fertility-related increases, although some data challenge this interpretation. In general, ovulatory cycle changes are more subtle than in non-human primates, perhaps representing leakage of information on fertility and hormonal status rather than signals functioning to convey this information

. There is further evidence from the same study that in fertile stages of the menstrual cycle, women also had a preference for other masculine traits such as body size, facial shape, and dominant behavior, which are indicators of both fertility and health. This study did not exclude males with feminine traits from being selected, however, as feminine traits in men indicate a higher probability of long-term relationship commitment, and may be one of several evolutionary strategies

. In a study measuring female attraction to males with varying levels of masculinity, it was established that women had a general masculinity preference for men's voices, and that the preference for masculinity was greater in the fertile phase of the menstrual cycle than in the non-fertile phase","According to the context, the answer is:

""Although some data challenge this interpretation, facial and vocal attractiveness have been observed to change with estradiol and progesterone in patterns consistent with fertility-related increases...""",0.7705106735229492,0.86768639087677,0.8162163496017456,0.13632482,3
"According to John Manning's view, what was more important for the evolution of the darkest skin types: antimicrobial properties or protection from ultraviolet light?",Antimicrobial properties,". John Manning suggests that where polygyny is common, there is also a higher disease burden, resulting in selection for antimicrobial resistance. In this view, the antimicrobial properties of melanin help mitigate the susceptibility to disease in sub-Saharan Africa. According to this argument, the anti-infective qualities of melanin were more important than protection from ultraviolet light in the evolution of the darkest skin types

. Manning asserts that skin color is more correlated with the occurrence of polygyny – because melanin has an antimicrobial function – than the latitudinal gradient in intensity of ultraviolet radiation. Research seems to contradict Manning's explanation about skin color. The analysis of indigenous populations from more than 50 countries has shown that the strongest correlation with light skin is upper latitude. Rogers et al

. Rogers et al. (2004) concluded that dark skin evolved as a result of the loss of body hair among the earliest primate ancestors of humans. and protect from folate depletion due to the increased exposure to sunlight. When humans started to migrate away from the tropics, where there is less-intense sunlight, lighter skin is able ","According to John Manning's view, the anti-infective qualities of melanin were more important than protection from ultraviolet light in the evolution of the darkest skin types.",0.8297749757766724,0.8122125267982483,0.8208998441696167,0.27996904,22
What is the strongest correlation found between skin color and geographic factors?,Upper latitude,". Manning asserts that skin color is more correlated with the occurrence of polygyny – because melanin has an antimicrobial function – than the latitudinal gradient in intensity of ultraviolet radiation. Research seems to contradict Manning's explanation about skin color. The analysis of indigenous populations from more than 50 countries has shown that the strongest correlation with light skin is upper latitude. Rogers et al

. The study distinguishes non-African sweeps (notably KITLG variants associated with skin color), West-Eurasian sweeps (SLC24A5) and East-Asian sweeps (MC1R, relevant to skin color). Based on this evidence, the study concluded that human populations encountered novel selective pressures as they expanded out of Africa. MC1R and its relation to skin color had already been discussed by Harding et al. (2000), p. 1355

. However, variations in manifest behavior can result from universal mechanisms interacting with different local environments. For example, Caucasians who move from a northern climate to the equator will have darker skin. The mechanisms regulating their pigmentation do not change; rather the input to those mechanisms change, resulting in different ou","According to the context, the strongest correlation found between skin color and geographic factors is with upper latitude.",0.8223052620887756,0.8625664710998535,0.8419548869132996,0.504298,100
"According to Rogers et al. (2004), what was the primary reason dark skin evolved among early primate ancestors of humans?",The loss of body hair,". Rogers et al. (2004) concluded that dark skin evolved as a result of the loss of body hair among the earliest primate ancestors of humans. and protect from folate depletion due to the increased exposure to sunlight. When humans started to migrate away from the tropics, where there is less-intense sunlight, lighter skin is able to generate more vitamin D than darker skin, so it would have represented a health benefit in reduced sunlight, leading to natural selection for lighter skin

. (2000), p. 1355. According to this study, Papua New Guineans continued to be exposed to selection for dark skin color so that, although these groups are distinct from Africans in other places, the allele for dark skin color shared by contemporary Africans, Andamanese and New Guineans is an archaism. Endicott et al. (2003) suggest convergent evolution. A 2014 study by Gurdasani et al

. Manning asserts that skin color is more correlated with the occurrence of polygyny – because melanin has an antimicrobial function – than the latitudinal gradient in intensity of ultraviolet radiation. Research seems to contradict Manning's explanation about skin color. The analysis of indigenous populations from more","According to Rogers et al. (2004), the primary reason dark skin evolved among early primate ancestors of humans is that it protected from folate depletion due to increased exposure to sunlight, and also served as a result of the loss of body hair among these earliest primates.",0.8105646967887878,0.9036492109298706,0.8545796871185303,0.35309613,100
"According to the context, what is considered more attractive than European women?",Women with the facial features and pigmentary characteristics of East Asian women,". Anthropologist Peter Frost has proposed that sexual selection for women with unusual hair or eye color was responsible for the evolution of pigmentary traits in European populations, however this theory has since been refuted by data-based evidence from genetics and spectrophotometry, and multiple studies have shown that women with the facial features and pigmentary characteristics of East Asian women are considered more attractive than European women

. Further research also backs up the idea of using phenotypic traits as a means of assessing a potential mate's fitness for reproduction as well as assessing whether a partner has high genetic quality. One study proposed a link between Human Development Index levels and female preference for male facial appearance. While women from the United Kingdom preferred the faces of men with low cortisol levels, women from Latvia did not discriminate between men with either high or low levels of cortisol

. In a study measuring female attraction to males with varying levels of masculinity, it was established that women had a general masculinity preference for men's voices, and that the preference for masculinity was greater in the fertile ph","According to the context, women with the facial features and pigmentary characteristics of East Asian women are considered more attractive than European women.",0.9027898907661438,0.9391894340515137,0.9206300377845764,0.8465517,100
"According to Geoffrey Miller's hypothesis, what kind of behaviors can play a role despite not being clearly tied to survival benefits?","Humor, music, visual art, some forms of altruism, verbal creativity",". Geoffrey Miller, drawing on some of Darwin's largely neglected ideas about human behavior, has hypothesized that many human behaviors not clearly tied to survival benefits, such as humor, music, visual art, some forms of altruism, verbal creativity, or the fact that most humans have a far greater vocabulary than that which is required for survival, can nevertheless play a role

. While groups may benefit from avoiding certain behaviors, those harmful behaviors have the same effect regardless of whether the offending individuals are aware of them or not. Since the individuals themselves can increase their reproductive success by doing many of them, any characteristics that entail impunity are positively selected by evolution

. However, the gathering hypothesis cannot account for sexual division of labor in men hunting and women gathering, high parental investment of human males, male coalition psychology, why humans live in environments without plant resources, human gut structure versus primate gut structure, reciprocal alliances (alliance theory), and why women share food

. However, Hawkes does acknowledge inconsistencies across societies and contexts such as the fluctuating t","According to Geoffrey Miller's hypothesis, many human behaviors that are not clearly tied to survival benefits, such as:

* Humor
* Music
* Visual art
* Some forms of altruism
* Verbal creativity
* Having a far greater vocabulary than required for survival

can play a role despite not being directly beneficial to survival.",0.8092365860939026,0.8710086345672607,0.8389871716499329,0.49399722,100
Do males make greater use of lower-frequency (more unusual) words when in a romantic mindset compared to a non-romantic mindset?,Yes,". Miller (2000) has proposed that this apparent redundancy is due to individuals using vocabulary to demonstrate their intelligence, and consequently their ""fitness"", to potential mates. This has been tested experimentally, and it appears that males do make greater use of lower-frequency (more unusual) words when in a romantic mindset compared to a non-romantic mindset, suggesting that vocabulary is likely to be used as a sexual display (Rosenberg & Tunney, 2008)

. In a study measuring female attraction to males with varying levels of masculinity, it was established that women had a general masculinity preference for men's voices, and that the preference for masculinity was greater in the fertile phase of the menstrual cycle than in the non-fertile phase

. The high rates of communicative disorders and psychopathy in males might facilitate their higher rates of disengagement from normative expectations and their insensitivity to social disapproval, when they deliberately do not follow social norms. Some of these speculations have yet to be developed into fully testable hypotheses, and a great deal of research is required to confirm their validity

. It was concluded that societal-","Yes, according to the context, males do make greater use of lower-frequency (more unusual) words when in a romantic mindset compared to a non-romantic mindset.",0.7946993112564087,0.8490241169929504,0.8209639191627502,0.15311415,100
What is Miller's view on how human culture arose?,Through sexual selection for creative traits,". All these qualities are considered courtship adaptations that have been favored through sexual selection. Miller is critical of theories that imply that human culture arose as accidents or by-products of human evolution. He believes that human culture arose through sexual selection for creative traits. In that view, many human artifacts could be considered subject to sexual selection as part of the extended phenotype, for instance clothing that enhances sexually selected traits

. DIT makes three main claims: The human capacity to store and transmit culture arose from genetically evolved psychological mechanisms. This implies that at some point during the evolution of the human species a type of social learning leading to cumulative cultural evolution was evolutionarily advantageous. Social learning processes give rise to cultural evolution

. Geoffrey Miller, drawing on some of Darwin's largely neglected ideas about human behavior, has hypothesized that many human behaviors not clearly tied to survival benefits, such as humor, music, visual art, some forms of altruism, verbal creativity, or the fact that most humans have a far greater vocabulary than that which is required for s","According to the context, Miller believes that human culture arose through sexual selection for creative traits.",0.881138801574707,0.9491637945175171,0.9138872027397156,0.6405503,100
When did the second period of brain expansion occur?,"500,000 years ago",". During human evolution, on at least two occasions, hominid brain size increased rapidly over a short period of time followed by a period of stasis. The first period of brain expansion occurred 2.5 million years ago, when Homo habilis first began using stone tools. The second period occurred 500,000 years ago, with the emergence of archaic Homo sapiens

. This brain increase manifested during postnatal brain growth, far exceeding that of other apes (heterochrony). It also allowed for extended periods of social learning and language acquisition in juvenile humans, beginning as much as 2 million years ago. Encephalization may be due to a dependency on calorie-dense, difficult-to-acquire food. Furthermore, the changes in the structure of human brains may be even more significant than the increase in size

. During the next million years a process of rapid encephalization occurred, and with the arrival of Homo erectus and Homo ergaster in the fossil record, cranial capacity had doubled to 850 cm3. (Such an increase in human brain size is equivalent to each generation having 125,000 more neurons than their parents.) It is believed that H. erectus and H

. Between 400,000 years ago and ","According to the context, the second period of brain expansion occurred 500,000 years ago, with the emergence of archaic Homo sapiens.",0.8300557136535645,0.9014846086502075,0.8642968535423279,0.55406755,100
What is the concept referred to by Tor Nørretranders as an example of the handicap principle?,The peacock's tail,". Miller argues that the rapid increases in brain size would have occurred by a positive feedback loop resulting in a Fisherian runaway selection for larger brains. Tor Nørretranders, in The Generous Man conjectures how intelligence, musicality, artistic and social skills, and language might have evolved as an example of the handicap principle, analogously with the peacock's tail, the standard example of that principle

. Additional information regarding these principles may be found in the table below. Adaptation works within constraints, makes compromises and trade-offs, and occurs in the context of different forms of competition. Adaptations can only occur if they are evolvable. Some adaptations which would prevent ill health are therefore not possible. Other constraints occur as the byproduct of adaptive innovations

. These theories help to explain the development of altruistic behavior, and account for hostility toward cheaters (individuals that take advantage of others' altruism). Several mid-level evolutionary theories inform evolutionary psychology. The r/K selection theory proposes that some species prosper by having many offspring, while others follow the strategy of hav","According to the context, Tor Nørretranders refers to the peacock's tail as an example of the handicap principle. The question also mentions that he conjectures how intelligence, musicality, artistic and social skills, and language might have evolved analogously with this example.",0.7861422300338745,0.9033153057098389,0.8406655192375183,0.56274366,100
When was the controversy over the role of sexual selection in human evolution sparked?,1871,". The role of sexual selection in human evolution has been considered controversial from the moment of publication of Darwin's book on sexual selection (1871)

. The role of sexual selection in human evolution has not been firmly established although neoteny has been cited as being caused by human sexual selection. It has been suggested that sexual selection played a part in the evolution of the anatomically modern human brain, i.e

. Sexual selection's role in human evolution cannot be definitively established, as features may result from an equilibrium among competing selective pressures, some involving sexual selection, others natural selection, and others pleiotropy. Richard Dawkins argued that Charles Darwin described sexual selection as depending on ""the advantage which certain individuals have over others of the same sex and species, solely in respect of reproduction""

. This view proposes that the derivation of anatomically modern human populations from H. erectus at the beginning of the Pleistocene 1.8 million years BP, has taken place within a continuous world population. The hypothesis necessarily rejects the assumption of an infertility barrier between ancient Eurasian ","According to the context, the controversy over the role of sexual selection in human evolution was sparked from the moment of publication of Darwin's book on sexual selection (1871).",0.7977942824363708,0.8416756391525269,0.8191477060317993,0.22217289,100
What was Alfred Wallace's stance on the origin of human mind?,non-material,". Among his vocal critics were some of Darwin's supporters, such as Alfred Wallace, a believer in spiritualism and a non-material origin of the human mind, who argued that animals and birds do not choose mates based on sexual selection, and that the artistic faculties in humans belong to their spiritual nature and therefore cannot be connected to natural selection, which only affects the animal nature

. Even many of Darwin's original supporters (such as Alfred Russel Wallace and Charles Lyell) balked at the idea that human beings could have evolved their apparently boundless mental capacities and moral sensibilities through natural selection. Prior to the general acceptance of Africa as the root of genus Homo, 19th-century naturalists sought the origin of humans in Asia

. Huxley argued for human evolution from apes by illustrating many of the similarities and differences between humans and other apes, and did so particularly in his 1863 book Evidence as to Man's Place in Nature. Many of Darwin's early supporters (such as Alfred Russel Wallace and Charles Lyell) did not initially agree that the origin of the mental capacities and the moral sensibilities of humans could be explaine","According to the context, Alfred Wallace believed in a non-material origin of the human mind. He argued that animals and birds do not choose mates based on sexual selection, and that the artistic faculties in humans belong to their spiritual nature, therefore cannot be connected to natural selection, which only affects the animal nature.",0.8170024156570435,0.8671131134033203,0.8413122296333313,0.27520096,100
What does the term 'biped' refer to?,'Two feet',". Darwin was accused of looking to the evolution of early human ancestors through the moral codes of the 19th century Victorian society. --- # Bipedalism#Evolution of human bipedalism Bipedalism is a form of terrestrial locomotion where an animal moves by means of its two rear (or lower) limbs or legs. An animal or machine that usually moves in a bipedal manner is known as a biped /ˈbaɪpɛd/, meaning 'two feet' (from Latin bis 'double' and pes 'foot')

. This article therefore avoids the terms ""facultative"" and ""obligate"", and focuses on the range of styles of locomotion normally used by various groups of animals. Normal humans may be considered ""obligate"" bipeds because the alternatives are very uncomfortable and usually only resorted to when walking is impossible. There are a number of states of movement commonly associated with bipedalism

. Bipedality in kangaroo rats has been hypothesized to improve locomotor performance, [clarification needed] which could aid in escaping from predators. Zoologists often label behaviors, including bipedalism, as ""facultative"" (i.e. optional) or ""obligate"" (the animal has no reasonable alternative). Even this distinction is not completely clear-","According to the context, a ""biped"" refers to an animal or machine that usually moves in a bipedal manner, meaning it uses its two rear (or lower) limbs or legs. In other words, it is an animal or object that walks on two feet.",0.7913143634796143,0.8622652292251587,0.8252676129341125,0.30443597,100
What type of movement do some species of archosaurs develop in the Triassic period?,Bipedalism,". Types of bipedal movement include walking or running (a bipedal gait) and hopping. Several groups of modern species are habitual bipeds whose normal method of locomotion is two-legged. In the Triassic period some groups of archosaurs (a group that includes crocodiles and dinosaurs) developed bipedalism; among the dinosaurs, all the early forms and many later groups were habitual or exclusive bipeds; the birds are members of a clade of exclusively bipedal dinosaurs, the theropods

. Bipedal movement also re-evolved in a number of other dinosaur lineages such as the iguanodonts. Some extinct members of Pseudosuchia, a sister group to the avemetatarsalians (the group including dinosaurs and relatives), also evolved bipedal forms – a poposauroid from the Triassic, Effigia okeeffeae, is thought to have been bipedal. Pterosaurs were previously thought to have been bipedal, but recent trackways have all shown quadrupedal locomotion

. Dinosaurs diverged from their archosaur ancestors approximately 230 million years ago during the Middle to Late Triassic period, roughly 20 million years after the Permian-Triassic extinction event wiped out an estimated 95 percent of all life on Earth. Ra","According to the context, some groups of archosaurs developed bipedalism in the Triassic period.",0.8206079006195068,0.8452898859977722,0.8327659964561462,0.5571978,100
Which group among mammals has evolved habitual bipedalism multiple times?,"The hominin apes, including humans",". Within mammals, habitual bipedalism has evolved multiple times, with the macropods, kangaroo rats and mice, springhare, hopping mice, pangolins and hominin apes (australopithecines, including humans) as well as various other extinct groups evolving the trait independently. A larger number of modern species intermittently or briefly use a bipedal gait. Several lizard species move bipedally when running, usually to escape from threats

. A number of groups of extant mammals have independently evolved bipedalism as their main form of locomotion – for example, humans, ground pangolins, the extinct giant ground sloths, numerous species of jumping rodents and macropods. Humans, as their bipedalism has been extensively studied, are documented in the next section. Macropods are believed to have evolved bipedal hopping only once in their evolution, at some time no later than 45 million years ago

. Types of bipedal movement include walking or running (a bipedal gait) and hopping. Several groups of modern species are habitual bipeds whose normal method of locomotion is two-legged. In the Triassic period some groups of archosaurs (a group that includes crocodiles and dinosaurs) developed bi","According to the context, within mammals, habitual bipedalism has evolved multiple times in:

* Macropods
* Kangaroo rats and mice
* Springhare
* Hopping mice
* Pangolins
* Hominin apes (including humans)

So, the correct answer is: These groups of mammals.",0.8024895191192627,0.8896402716636658,0.8438205718994141,0.47364622,100
What is a common behavior exhibited by some primate and bear species?,Walking bipedally,". Many primate and bear species will adopt a bipedal gait in order to reach food or explore their environment, though there are a few cases where they walk on their hind limbs only. Several arboreal primate species, such as gibbons and indriids, exclusively walk on two legs during the brief periods they spend on the ground. Many animals rear up on their hind legs while fighting or copulating

. Monkeys and apes rely on a repertoire of species-specific ""gesture-calls"" – emotionally-expressive vocalisations inseparable from the visual displays which accompany them. Humans also have species-specific gesture-calls – laughs, cries, sobs, etc. – together with involuntary gestures accompanying speech. Many animal displays are polymodal in that each appears designed to exploit multiple channels simultaneously

. Evidence of a rich cognitive life in primate relatives of humans is extensive, and a wide range of specific behaviours in line with Darwinian theory is well documented. However, until recently, research has disregarded nonhuman primates in the context of evolutionary linguistics, primarily because unlike vocal learning birds, our closest relatives seem to lack imitative abilities

",A common behavior exhibited by some primate and bear species is adopting a bipedal gait in order to reach food or explore their environment.,0.8130553960800171,0.8600763082504272,0.835905134677887,0.64654255,16
What does the prefix 'bi-' mean in the word 'bipedally'?,Two,". Darwin was accused of looking to the evolution of early human ancestors through the moral codes of the 19th century Victorian society. --- # Bipedalism#Evolution of human bipedalism Bipedalism is a form of terrestrial locomotion where an animal moves by means of its two rear (or lower) limbs or legs. An animal or machine that usually moves in a bipedal manner is known as a biped /ˈbaɪpɛd/, meaning 'two feet' (from Latin bis 'double' and pes 'foot')

. Some animals commonly stand on their hind legs to reach food, keep watch, threaten a competitor or predator, or pose in courtship, but do not move bipedally. The word is derived from the Latin words bi(s) 'two' and ped- 'foot', as contrasted with quadruped 'four feet'. Limited and exclusive bipedalism can offer a species several advantages

. Bipedality in kangaroo rats has been hypothesized to improve locomotor performance, [clarification needed] which could aid in escaping from predators. Zoologists often label behaviors, including bipedalism, as ""facultative"" (i.e. optional) or ""obligate"" (the animal has no reasonable alternative). Even this distinction is not completely clear-cut — for example, humans other than infants normally","According to the context, the prefix 'bi-' means ""two"" (from Latin bis 'double').",0.7642546892166138,0.8317338824272156,0.7965677976608276,0.2134246,100
What is one of the benefits of bipedalism for animals?,access to higher food sources with their mouths,". Bipedalism raises the head; this allows a greater field of vision with improved detection of distant dangers or resources, access to deeper water for wading animals and allows the animals to reach higher food sources with their mouths. While upright, non-locomotory limbs become free for other uses, including manipulation (in primates and rodents), flight (in birds), digging (in the giant pangolin), combat (in bears, great apes and the large monitor lizard) or camouflage

. Only after the more demanding posture was enabled by changes in the nervous system, could advantages of bipedal over quadrupedal locomotion be utilized, including better scanning of the environment, carrying food and infants, simultaneous upper extremity movements and observation of the environment, limitless manipulation of objects with upper extremities, and less space for rotating around the Z-axis

. Some animals commonly stand on their hind legs to reach food, keep watch, threaten a competitor or predator, or pose in courtship, but do not move bipedally. The word is derived from the Latin words bi(s) 'two' and ped- 'foot', as contrasted with quadruped 'four feet'. Limited and exclusive bipedalism can offer",One of the benefits of bipedalism for animals is that it allows for a greater field of vision with improved detection of distant dangers or resources.,0.8308700919151306,0.8371079564094543,0.8339773416519165,0.12834916,38
What is the maximum speed that an ostrich and a red kangaroo can reach?,70 km/h (43 mph),". The maximum bipedal speed appears slower than the maximum speed of quadrupedal movement with a flexible backbone – both the ostrich and the red kangaroo can reach speeds of 70 km/h (43 mph), while the cheetah can exceed 100 km/h (62 mph). Even though bipedalism is slower at first, over long distances, it has allowed humans to outrun most other animals according to the endurance running hypothesis

. The great majority of living terrestrial vertebrates are quadrupeds, with bipedalism exhibited by only a handful of living groups. Humans, gibbons and large birds walk by raising one foot at a time. On the other hand, most macropods, smaller birds, lemurs and bipedal rodents move by hopping on both legs simultaneously. Tree kangaroos are able to walk or hop, most commonly alternating feet when moving arboreally and hopping on both feet simultaneously when on the ground

. Bipedal movement is less common among mammals, most of which are quadrupedal. All primates possess some bipedal ability, though most species primarily use quadrupedal locomotion on land. Primates aside, the macropods (kangaroos, wallabies and their relatives), kangaroo rats and mice, hopping mice and springhare move ","According to the context, both the ostrich and the red kangaroo can reach speeds of 70 km/h (43 mph).",0.8463491797447205,0.9225867986679077,0.8828251361846924,0.5757892,100
What type of behavior does zoologists label as 'facultative'?,Optional,". Bipedality in kangaroo rats has been hypothesized to improve locomotor performance, [clarification needed] which could aid in escaping from predators. Zoologists often label behaviors, including bipedalism, as ""facultative"" (i.e. optional) or ""obligate"" (the animal has no reasonable alternative). Even this distinction is not completely clear-cut — for example, humans other than infants normally walk and run in biped fashion, but almost all can crawl on hands and knees when necessary

. Evolutionary psychologists respond that they are working within a nature-nurture interactionist framework that acknowledges that many psychological adaptations are facultative (sensitive to environmental variations during individual development). The discipline is generally not focused on proximate analyses of behavior, but rather its focus is on the study of distal/ultimate causality (the evolution of psychological adaptations)

. This article therefore avoids the terms ""facultative"" and ""obligate"", and focuses on the range of styles of locomotion normally used by various groups of animals. Normal humans may be considered ""obligate"" bipeds because the alternatives are very uncomfortable and usuall","According to the context, zoologists label behaviors such as bipedalism (in kangaroo rats) as ""facultative"", meaning that it is an optional behavior.",0.7878960967063904,0.8270613551139832,0.8070037961006165,0.19347228,100
What is a common reason for people walking on all fours with their feet but not their knees?,Injury or illness,". There are even reports of humans who normally walk on all fours with their feet but not their knees on the ground, but these cases are a result of conditions such as Uner Tan syndrome — very rare genetic neurological disorders rather than normal behavior. Even if one ignores exceptions caused by some kind of injury or illness, there are many unclear cases, including the fact that ""normal"" humans can crawl on hands and knees

. Humans walk with their knees kept straight and the thighs bent inward so that the knees are almost directly under the body, rather than out to the side, as is the case in ancestral hominids. This type of gait also aids balance. An increase in leg length since the evolution of bipedalism changed how leg muscles functioned in upright gait. In humans, the push for walking comes from the leg muscles acting at the ankle

. Some animals commonly stand on their hind legs to reach food, keep watch, threaten a competitor or predator, or pose in courtship, but do not move bipedally. The word is derived from the Latin words bi(s) 'two' and ped- 'foot', as contrasted with quadruped 'four feet'. Limited and exclusive bipedalism can offer a species several advantages

. ","According to the context, a common reason for people walking on all fours with their feet but not their knees is due to conditions such as Uner Tan syndrome - very rare genetic neurological disorders.",0.7894324064254761,0.8085403442382812,0.798872172832489,0.2400307,16
